Block,X [mm],Y [mm],,Interface,Len [mm],Ds [mm],Fi [deg],Depth [mm],Weight [N],,Fx_lam [N],Fy_lam [N],Backfill_Added
Block 64,635.440592,121.230241,,,,,,,,,0.000000,0.000000,No
Block 64,649.523305,147.719431,,,,,,,,,,,
Block 64,659.509969,142.270217,,,,,,,,,,,
Block 64,644.855350,116.093087,,,,,,,,,,,
Block 64,635.440592,121.230241,,,,,,,,,,,
Block 65,644.855350,116.093087,,,,,,,,,0.000000,0.000000,No
Block 65,659.509969,142.270217,,,,,,,,,,,
Block 65,669.375945,136.605422,,,,,,,,,,,
Block 65,654.156332,110.752697,,,,,,,,,,,
Block 65,644.855350,116.093087,,,,,,,,,,,
Block 66,654.156332,110.752697,,,,,,,,,0.000000,0.000000,No
Block 66,669.375945,136.605422,,,,,,,,,,,
Block 66,679.116581,130.727717,,,,,,,,,,,
Block 66,663.339151,105.211591,,,,,,,,,,,
Block 66,654.156332,110.752697,,,,,,,,,,,
Block 67,663.339151,105.211591,,,,,,,,,0.000000,0.000000,No
Block 67,679.116581,130.727717,,,,,,,,,,,
Block 67,688.727283,124.639876,,,,,,,,,,,
Block 67,672.399476,99.472382,,,,,,,,,,,
Block 67,663.339151,105.211591,,,,,,,,,,,
Block 68,672.399476,99.472382,,,,,,,,,0.000000,0.000000,No
Block 68,688.727283,124.639876,,,,,,,,,,,
Block 68,698.203517,118.344768,,,,,,,,,,,
Block 68,681.333035,93.537776,,,,,,,,,,,
Block 68,672.399476,99.472382,,,,,,,,,,,
Block 69,681.333035,93.537776,,,,,,,,,0.000000,0.000000,No
Block 69,698.203517,118.344768,,,,,,,,,,,
Block 69,707.540815,111.845363,,,,,,,,,,,
Block 69,690.135614,87.410573,,,,,,,,,,,
Block 69,681.333035,93.537776,,,,,,,,,,,
Block 70,690.135614,87.410573,,,,,,,,,0.000000,0.000000,No
Block 70,707.540815,111.845363,,,,,,,,,,,
Block 70,716.734773,105.144727,,,,,,,,,,,
Block 70,698.803062,81.093662,,,,,,,,,,,
Block 70,690.135614,87.410573,,,,,,,,,,,
Block 71,698.803062,81.093662,,,,,,,,,0.000000,0.000000,No
Block 71,716.734773,105.144727,,,,,,,,,,,
Block 71,725.781055,98.246019,,,,,,,,,,,
Block 71,707.331291,74.590022,,,,,,,,,,,
Block 71,698.803062,81.093662,,,,,,,,,,,
Block 72,707.331291,74.590022,,,,,,,,,0.000000,0.000000,No
Block 72,725.781055,98.246019,,,,,,,,,,,
